FID_1;LABEL;Count_;FID_12;Annee;Saison;LAT;LONG;LAT_D;LONG_D;Esp1;Pres_Esp1;Esp2;Pres_Esp2;Salinite;Temp;DO;pH
375;BQ91;5;1625;2020;automne;24,894167;-16,525;24,89416700000;-16,52500000000;0,00000000000;0;17,83000000000;1;36,44500000000;20,64000000000;5,09400000000;7,99980000000
376;BR91;19;1628;2020;automne;24,841667;-16,349444;24,84166700000;-16,34944400000;0,00000000000;0;0,00000000000;0;36,43900000000;20,69000000000;5,03400000000;8,00000000000
377;BS91;19;1638;2020;automne;24,9975;-16,257222;24,99750000000;-16,25722200000;0,00000000000;0;0,00000000000;0;36,45100000000;20,34000000000;5,09600000000;7,99990000000
378;BT91;9;1649;2020;automne;24,924167;-16,113056;24,92416700000;-16,11305600000;0,00000000000;0;112,38000000000;1;36,44800000000;20,69000000000;5,00000000000;8,00000000000
379;BU91;27;1654;2020;automne;24,9625;-15,843056;24,96250000000;-15,84305600000;0,00000000000;0;28,12000000000;1;36,44900000000;20,20000000000;5,02200000000;8,00000000000
380;BV91;20;1680;2020;automne;24,956111;-15,826111;24,95611100000;-15,82611100000;0,00000000000;0;21,32000000000;1;36,42200000000;20,50000000000;5,03400000000;7,96970000000
381;BW91;17;1694;2020;automne;24,836944;-15,525556;24,83694400000;-15,52555600000;0,00000000000;0;0,00000000000;0;36,42800000000;20,55000000000;4,71900000000;7,96960000000
382;BX91;18;1703;2020;automne;24,995833;-15,464722;24,99583300000;-15,46472200000;0,00000000000;0;0,00000000000;0;36,43500000000;20,56000000000;4,72200000000;7,96990000000
383;BY91;23;1721;2020;automne;24,858333;-15,1675;24,85833300000;-15,16750000000;15966,87000000000;1;61,21000000000;1;36,44300000000;19,63000000000;4,79300000000;7,96980000000
384;CZ91;8;1744;2020;automne;24,848611;-15,141667;24,84861100000;-15,14166700000;11492,89000000000;1;44,06000000000;1;36,34900000000;19,38000000000;4,79700000000;7,93980000000
385;CA91;26;1752;2020;automne;24,932778;-14,881667;24,93277800000;-14,88166700000;20060,87000000000;1;19184,13000000000;1;36,31500000000;19,13000000000;4,73300000000;7,93950000000
386;BO92;2;1778;2020;automne;24,72;-16,89167;24,72000000000;-16,89167000000;0,00000000000;0;0,00000000000;0;36,45100000000;20,36000000000;5,01500000000;8,00000000000
387;BP92;2;1780;2020;automne;24,713056;-16,725;24,71305600000;-16,72500000000;0,00000000000;0;0,00000000000;0;36,44900000000;20,19000000000;5,02200000000;8,00000000000
388;BQ92;7;1782;2020;printemps;24,688056;-16,5556;24,68805600000;-16,55560000000;1628,56000000000;1;34,11000000000;1;36,44800000000;20,65000000000;5,00100000000;7,99980000000
389;BR92;32;1786;2020;automne;24,833056;-16,333611;24,83305600000;-16,33361100000;0,00000000000;0;0,00000000000;0;36,43900000000;20,71000000000;5,03200000000;8,00000000000
390;BS92;27;1804;2020;automne;24,7575;-16,170833;24,75750000000;-16,17083300000;0,00000000000;0;0,00000000000;0;36,44200000000;20,63000000000;5,09200000000;7,99970000000
391;BT92;9;1819;2020;automne;24,684444;-16,14444;24,68444400000;-16,14444000000;0,00000000000;0;0,00000000000;0;36,43600000000;20,73000000000;5,03100000000;8,00000000000
